Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,34,4.48,.686,63,567,416,5184.0,2376,1728,624,24,53,.990,18,4,31,1
ATL,37,4.85,.695,62,558,449,4992.0,2255,1664,556,35,48,.984,-2,0,13,1
BAL,42,6.06,.691,62,558,397,4935.0,2249,1645,557,47,64,.979,4,1,-41,-10
BOS,38,4.71,.690,62,558,449,4986.0,2249,1662,553,34,43,.985,-2,0,6,0
CHC,36,4.31,.687,61,549,393,4959.0,2365,1653,667,45,58,.981,9,2,7,0
CHW,36,5.08,.683,61,549,423,4704.0,2156,1568,537,51,62,.976,-2,-1,-9,-2
CIN,31,3.75,.690,61,549,382,4884.0,2212,1628,559,25,54,.989,-3,-1,26,6
CLE,39,4.26,.693,62,558,444,4881.0,2183,1627,517,39,35,.982,5,1,-1,0
COL,39,5.23,.685,61,549,437,4971.0,2347,1657,661,29,60,.988,12,3,-14,-3
DET,40,5.25,.690,60,540,450,4803.0,2211,1601,565,45,49,.980,-20,-5,-15,-4
HOU,32,3.72,.737,64,576,442,5148.0,2253,1716,513,24,29,.989,29,7,32,7
KCR,36,5.37,.677,62,558,466,4881.0,2224,1627,575,22,61,.990,-2,0,6,1
ANA,41,5.10,.702,63,567,434,5013.0,2221,1671,516,34,39,.985,2,0,-4,-1
LAD,34,3.75,.721,63,567,395,5052.0,2295,1684,579,32,47,.986,32,8,47,2
FLA,35,4.52,.699,60,540,387,4794.0,2175,1598,543,34,57,.984,-3,-1,2,0
MIL,37,4.94,.686,63,567,416,5160.0,2316,1720,560,36,53,.984,-9,-2,17,1
MIN,36,4.20,.699,61,549,432,4842.0,2145,1614,499,32,36,.985,26,6,25,6
NYM,41,4.89,.672,62,558,344,5007.0,2251,1669,538,44,51,.980,-37,-9,-40,-2
NYY,40,4.11,.698,61,549,433,4905.0,2207,1635,525,47,49,.979,5,1,-16,-1
OAK,31,4.48,.716,63,567,458,5163.0,2307,1721,555,31,42,.987,3,1,6,0
PHI,39,4.60,.690,62,558,433,5007.0,2301,1669,598,34,50,.985,2,1,-5,0
PIT,43,5.41,.681,61,549,399,4941.0,2247,1647,560,40,50,.982,-10,-2,-14,-3
SDP,38,4.48,.703,63,567,406,5031.0,2270,1677,556,37,30,.984,2,0,16,4
SEA,49,6.12,.673,66,594,469,5304.0,2450,1768,613,69,60,.972,-32,-7,-55,-12
SFG,40,5.20,.689,61,549,417,4905.0,2253,1635,573,45,49,.980,-2,0,27,7
STL,35,4.48,.709,60,540,395,4776.0,2214,1592,593,29,61,.987,11,3,14,1
TBD,38,3.32,.707,60,540,413,4911.0,2227,1637,562,28,56,.987,25,6,30,7
TEX,34,5.20,.668,60,540,432,4815.0,2132,1605,496,31,61,.985,-24,-6,-34,-8
TOR,42,4.87,.690,62,558,447,4941.0,2280,1647,590,43,49,.981,4,1,-18,-1
WSN,39,5.03,.664,62,558,447,4902.0,2181,1634,502,45,46,.979,-29,-7,-32,-8
